Price,Close,High,Low,Open,Volume
Ticker,ABNB,ABNB,ABNB,ABNB,ABNB
Date,,,,,
2020-12-10,144.7100067138672,165.0,141.25,146.0,70447500
2020-12-11,139.25,151.5,135.10000610351562,146.5500030517578,26980800
2020-12-14,130.0,135.3000030517578,125.16000366210938,135.0,16966100
2020-12-15,124.80000305175781,127.5999984741211,121.5,126.69000244140625,10914400
2020-12-16,137.99000549316406,142.0,124.91000366210938,125.83000183105469,20409600
2020-12-17,147.0500030517578,152.4499969482422,142.6699981689453,143.0,15054700
2020-12-18,157.3000030517578,159.0,150.3000030517578,150.4499969482422,15954200
2020-12-21,163.02000427246094,172.0,145.11000061035156,155.30999755859375,17788100
2020-12-22,163.19000244140625,174.97000122070312,161.0500030517578,170.0,9872600
2020-12-23,158.00999450683594,168.25,155.5,162.81399536132812,5852500
2020-12-24,154.83999633789062,162.7899932861328,154.11199951171875,159.16000366210938,3621400
2020-12-28,149.0,163.63999938964844,147.52000427246094,158.60000610351562,6229200
2020-12-29,150.0,151.6510009765625,143.1199951171875,150.0,5402300
2020-12-30,148.42999267578125,152.81300354003906,145.60000610351562,151.33999633789062,3462400
